"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","Game","src/Game/Ball.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"2","Game","src/Game/Ball.java","3","7","CommentRequired: Class comments are required","Documentation","CommentRequired"
"3","Game","src/Game/Ball.java","3","7","DataClass: The class 'Ball' is suspected to be a Data Class (WOC=25.000%, NOPA=0, NOAM=9, WMC=13)","Design","DataClass"
"4","Game","src/Game/Ball.java","4","7","ShortClassName: Avoid short class names like Ball","Code Style","ShortClassName"
"5","Game","src/Game/Ball.java","3","8","CommentRequired: Field comments are required","Documentation","CommentRequired"
"6","Game","src/Game/Ball.java","3","8","ImmutableField: Field 'diameter' may be declared final","Design","ImmutableField"
"7","Game","src/Game/Ball.java","1","8","OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.","Code Style","OneDeclarationPerLine"
"8","Game","src/Game/Ball.java","3","8","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"9","Game","src/Game/Ball.java","3","8","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"10","Game","src/Game/Ball.java","3","9","CommentRequired: Field comments are required","Documentation","CommentRequired"
"11","Game","src/Game/Ball.java","1","9","OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.","Code Style","OneDeclarationPerLine"
"12","Game","src/Game/Ball.java","3","9","ShortVariable: Avoid variables with short names like dx","Code Style","ShortVariable"
"13","Game","src/Game/Ball.java","3","9","ShortVariable: Avoid variables with short names like dy","Code Style","ShortVariable"
"14","Game","src/Game/Ball.java","3","11","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"15","Game","src/Game/Ball.java","3","11","MethodArgumentCouldBeFinal: Parameter 'diameter' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"16","Game","src/Game/Ball.java","3","11","MethodArgumentCouldBeFinal: Parameter 'dx' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"17","Game","src/Game/Ball.java","3","11","MethodArgumentCouldBeFinal: Parameter 'dy' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"18","Game","src/Game/Ball.java","3","11","MethodArgumentCouldBeFinal: Parameter 'x' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"19","Game","src/Game/Ball.java","3","11","MethodArgumentCouldBeFinal: Parameter 'y' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"20","Game","src/Game/Ball.java","3","11","ShortVariable: Avoid variables with short names like dx","Code Style","ShortVariable"
"21","Game","src/Game/Ball.java","3","11","ShortVariable: Avoid variables with short names like dy","Code Style","ShortVariable"
"22","Game","src/Game/Ball.java","3","11","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"23","Game","src/Game/Ball.java","3","11","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"24","Game","src/Game/Ball.java","3","19","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"25","Game","src/Game/Ball.java","3","24","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"26","Game","src/Game/Ball.java","3","24","MethodArgumentCouldBeFinal: Parameter 'g' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"27","Game","src/Game/Ball.java","3","24","ShortVariable: Avoid variables with short names like g","Code Style","ShortVariable"
"28","Game","src/Game/Ball.java","3","29","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"29","Game","src/Game/Ball.java","3","40","MethodArgumentCouldBeFinal: Parameter 'x' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"30","Game","src/Game/Ball.java","3","40","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"31","Game","src/Game/Ball.java","3","41","MethodArgumentCouldBeFinal: Parameter 'y' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"32","Game","src/Game/Ball.java","3","41","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"33","Game","src/Game/Ball.java","3","42","MethodArgumentCouldBeFinal: Parameter 'dx' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"34","Game","src/Game/Ball.java","3","42","ShortVariable: Avoid variables with short names like dx","Code Style","ShortVariable"
"35","Game","src/Game/Ball.java","3","43","MethodArgumentCouldBeFinal: Parameter 'dy' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"36","Game","src/Game/Ball.java","3","43","ShortVariable: Avoid variables with short names like dy","Code Style","ShortVariable"
"37","Game","src/Game/Breakout.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"38","Game","src/Game/Breakout.java","3","6","CommentRequired: Class comments are required","Documentation","CommentRequired"
"39","Game","src/Game/Breakout.java","3","6","UseUtilityClass: All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"40","Game","src/Game/Breakout.java","3","7","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"41","Game","src/Game/Breakout.java","3","9","LocalVariableCouldBeFinal: Local variable 'frame' could be declared final","Code Style","LocalVariableCouldBeFinal"
"42","Game","src/Game/Breakout.java","3","14","LocalVariableCouldBeFinal: Local variable 'panel' could be declared final","Code Style","LocalVariableCouldBeFinal"
"43","Game","src/Game/Brick.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"44","Game","src/Game/Brick.java","3","6","CommentRequired: Class comments are required","Documentation","CommentRequired"
"45","Game","src/Game/Brick.java","3","7","CommentRequired: Field comments are required","Documentation","CommentRequired"
"46","Game","src/Game/Brick.java","3","7","ImmutableField: Field 'height' may be declared final","Design","ImmutableField"
"47","Game","src/Game/Brick.java","3","7","ImmutableField: Field 'width' may be declared final","Design","ImmutableField"
"48","Game","src/Game/Brick.java","3","7","ImmutableField: Field 'x' may be declared final","Design","ImmutableField"
"49","Game","src/Game/Brick.java","3","7","ImmutableField: Field 'y' may be declared final","Design","ImmutableField"
"50","Game","src/Game/Brick.java","1","7","OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.","Code Style","OneDeclarationPerLine"
"51","Game","src/Game/Brick.java","3","7","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"52","Game","src/Game/Brick.java","3","7","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"53","Game","src/Game/Brick.java","3","8","CommentRequired: Field comments are required","Documentation","CommentRequired"
"54","Game","src/Game/Brick.java","3","8","RedundantFieldInitializer: Avoid using redundant field initializer for 'destroyed'","Performance","RedundantFieldInitializer"
"55","Game","src/Game/Brick.java","3","9","CommentRequired: Field comments are required","Documentation","CommentRequired"
"56","Game","src/Game/Brick.java","3","9","ImmutableField: Field 'color' may be declared final","Design","ImmutableField"
"57","Game","src/Game/Brick.java","3","11","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"58","Game","src/Game/Brick.java","3","11","MethodArgumentCouldBeFinal: Parameter 'height' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"59","Game","src/Game/Brick.java","3","11","MethodArgumentCouldBeFinal: Parameter 'width' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"60","Game","src/Game/Brick.java","3","11","MethodArgumentCouldBeFinal: Parameter 'x' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"61","Game","src/Game/Brick.java","3","11","MethodArgumentCouldBeFinal: Parameter 'y' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"62","Game","src/Game/Brick.java","3","11","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"63","Game","src/Game/Brick.java","3","11","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"64","Game","src/Game/Brick.java","3","20","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"65","Game","src/Game/Brick.java","3","20","MethodArgumentCouldBeFinal: Parameter 'g' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"66","Game","src/Game/Brick.java","3","20","ShortVariable: Avoid variables with short names like g","Code Style","ShortVariable"
"67","Game","src/Game/Brick.java","3","27","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"68","Game","src/Game/Brick.java","3","32","MethodArgumentCouldBeFinal: Parameter 'val' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"69","Game","src/Game/GamePanel.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"70","Game","src/Game/GamePanel.java","3","14","CommentRequired: Class comments are required","Documentation","CommentRequired"
"71","Game","src/Game/GamePanel.java","3","14","MissingSerialVersionUID: Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"72","Game","src/Game/GamePanel.java","3","15","CommentRequired: Field comments are required","Documentation","CommentRequired"
"73","Game","src/Game/GamePanel.java","3","15","ImmutableField: Field 'timer' may be declared final","Design","ImmutableField"
"74","Game","src/Game/GamePanel.java","3","16","CommentRequired: Field comments are required","Documentation","CommentRequired"
"75","Game","src/Game/GamePanel.java","3","16","NonSerializableClass: The field 'paddle' of serializable class 'Game.GamePanel' is of non-serializable type 'Game.Paddle'.","Error Prone","NonSerializableClass"
"76","Game","src/Game/GamePanel.java","3","17","CommentRequired: Field comments are required","Documentation","CommentRequired"
"77","Game","src/Game/GamePanel.java","3","17","NonSerializableClass: The field 'ball' of serializable class 'Game.GamePanel' is of non-serializable type 'Game.Ball'.","Error Prone","NonSerializableClass"
"78","Game","src/Game/GamePanel.java","3","18","CommentRequired: Field comments are required","Documentation","CommentRequired"
"79","Game","src/Game/GamePanel.java","3","18","LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"80","Game","src/Game/GamePanel.java","3","19","CommentRequired: Field comments are required","Documentation","CommentRequired"
"81","Game","src/Game/GamePanel.java","3","19","RedundantFieldInitializer: Avoid using redundant field initializer for 'leftPressed'","Performance","RedundantFieldInitializer"
"82","Game","src/Game/GamePanel.java","3","20","CommentRequired: Field comments are required","Documentation","CommentRequired"
"83","Game","src/Game/GamePanel.java","3","20","RedundantFieldInitializer: Avoid using redundant field initializer for 'rightPressed'","Performance","RedundantFieldInitializer"
"84","Game","src/Game/GamePanel.java","3","21","CommentRequired: Field comments are required","Documentation","CommentRequired"
"85","Game","src/Game/GamePanel.java","3","21","RedundantFieldInitializer: Avoid using redundant field initializer for 'initialized'","Performance","RedundantFieldInitializer"
"86","Game","src/Game/GamePanel.java","3","22","CommentRequired: Field comments are required","Documentation","CommentRequired"
"87","Game","src/Game/GamePanel.java","3","22","RedundantFieldInitializer: Avoid using redundant field initializer for 'gameOver'","Performance","RedundantFieldInitializer"
"88","Game","src/Game/GamePanel.java","3","23","CommentRequired: Field comments are required","Documentation","CommentRequired"
"89","Game","src/Game/GamePanel.java","3","23","RedundantFieldInitializer: Avoid using redundant field initializer for 'victory'","Performance","RedundantFieldInitializer"
"90","Game","src/Game/GamePanel.java","3","25","CommentRequired: Field comments are required","Documentation","CommentRequired"
"91","Game","src/Game/GamePanel.java","1","25","FieldNamingConventions: The final field name 'ROWS' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"92","Game","src/Game/GamePanel.java","3","25","FinalFieldCouldBeStatic: The final field ROWS could be made static","Design","FinalFieldCouldBeStatic"
"93","Game","src/Game/GamePanel.java","3","26","CommentRequired: Field comments are required","Documentation","CommentRequired"
"94","Game","src/Game/GamePanel.java","1","26","FieldNamingConventions: The final field name 'COLS' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"95","Game","src/Game/GamePanel.java","3","26","FinalFieldCouldBeStatic: The final field COLS could be made static","Design","FinalFieldCouldBeStatic"
