"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","Game","src/Game/Ball.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"2","Game","src/Game/Ball.java","3","6","CommentRequired: Class comments are required","Documentation","CommentRequired"
"3","Game","src/Game/Ball.java","4","6","ShortClassName: Avoid short class names like Ball","Code Style","ShortClassName"
"4","Game","src/Game/Ball.java","3","7","CommentRequired: Field comments are required","Documentation","CommentRequired"
"5","Game","src/Game/Ball.java","1","7","OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.","Code Style","OneDeclarationPerLine"
"6","Game","src/Game/Ball.java","3","7","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"7","Game","src/Game/Ball.java","3","7","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"8","Game","src/Game/Ball.java","3","8","CommentRequired: Field comments are required","Documentation","CommentRequired"
"9","Game","src/Game/Ball.java","1","8","OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.","Code Style","OneDeclarationPerLine"
"10","Game","src/Game/Ball.java","3","8","ShortVariable: Avoid variables with short names like dx","Code Style","ShortVariable"
"11","Game","src/Game/Ball.java","3","8","ShortVariable: Avoid variables with short names like dy","Code Style","ShortVariable"
"12","Game","src/Game/Ball.java","3","9","CommentRequired: Field comments are required","Documentation","CommentRequired"
"13","Game","src/Game/Ball.java","3","11","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"14","Game","src/Game/Ball.java","3","11","MethodArgumentCouldBeFinal: Parameter 'x' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"15","Game","src/Game/Ball.java","3","11","MethodArgumentCouldBeFinal: Parameter 'y' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"16","Game","src/Game/Ball.java","3","11","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"17","Game","src/Game/Ball.java","3","11","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"18","Game","src/Game/Ball.java","3","16","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"19","Game","src/Game/Ball.java","3","21","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"20","Game","src/Game/Ball.java","3","25","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"21","Game","src/Game/Ball.java","3","29","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"22","Game","src/Game/Ball.java","3","29","MethodArgumentCouldBeFinal: Parameter 'objHeight' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"23","Game","src/Game/Ball.java","3","29","MethodArgumentCouldBeFinal: Parameter 'objWidth' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"24","Game","src/Game/Ball.java","3","29","MethodArgumentCouldBeFinal: Parameter 'objX' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"25","Game","src/Game/Ball.java","3","29","MethodArgumentCouldBeFinal: Parameter 'objY' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"26","Game","src/Game/Ball.java","3","36","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"27","Game","src/Game/Ball.java","3","36","MethodArgumentCouldBeFinal: Parameter 'g' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"28","Game","src/Game/Ball.java","3","36","ShortVariable: Avoid variables with short names like g","Code Style","ShortVariable"
"29","Game","src/Game/BreakoutGame.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"30","Game","src/Game/BreakoutGame.java","3","5","CommentRequired: Class comments are required","Documentation","CommentRequired"
"31","Game","src/Game/BreakoutGame.java","3","5","UseUtilityClass: All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"32","Game","src/Game/BreakoutGame.java","3","6","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"33","Game","src/Game/BreakoutGame.java","3","7","LocalVariableCouldBeFinal: Local variable 'frame' could be declared final","Code Style","LocalVariableCouldBeFinal"
"34","Game","src/Game/BreakoutGame.java","3","8","LocalVariableCouldBeFinal: Local variable 'gamePanel' could be declared final","Code Style","LocalVariableCouldBeFinal"
"35","Game","src/Game/Brick.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"36","Game","src/Game/Brick.java","3","6","CommentRequired: Class comments are required","Documentation","CommentRequired"
"37","Game","src/Game/Brick.java","3","6","DataClass: The class 'Brick' is suspected to be a Data Class (WOC=28.571%, NOPA=0, NOAM=5, WMC=13)","Design","DataClass"
"38","Game","src/Game/Brick.java","3","7","CommentRequired: Field comments are required","Documentation","CommentRequired"
"39","Game","src/Game/Brick.java","3","7","ImmutableField: Field 'height' may be declared final","Design","ImmutableField"
"40","Game","src/Game/Brick.java","3","7","ImmutableField: Field 'width' may be declared final","Design","ImmutableField"
"41","Game","src/Game/Brick.java","3","7","ImmutableField: Field 'x' may be declared final","Design","ImmutableField"
"42","Game","src/Game/Brick.java","3","7","ImmutableField: Field 'y' may be declared final","Design","ImmutableField"
"43","Game","src/Game/Brick.java","1","7","OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.","Code Style","OneDeclarationPerLine"
"44","Game","src/Game/Brick.java","3","7","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"45","Game","src/Game/Brick.java","3","7","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"46","Game","src/Game/Brick.java","3","8","CommentRequired: Field comments are required","Documentation","CommentRequired"
"47","Game","src/Game/Brick.java","3","8","RedundantFieldInitializer: Avoid using redundant field initializer for 'destroyed'","Performance","RedundantFieldInitializer"
"48","Game","src/Game/Brick.java","3","9","CommentRequired: Field comments are required","Documentation","CommentRequired"
"49","Game","src/Game/Brick.java","3","11","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
