"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","Game","src/Game/Ball.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"2","Game","src/Game/Ball.java","3","3","CommentRequired: Class comments are required","Documentation","CommentRequired"
"3","Game","src/Game/Ball.java","4","3","ShortClassName: Avoid short class names like Ball","Code Style","ShortClassName"
"4","Game","src/Game/Ball.java","3","4","CommentRequired: Field comments are required","Documentation","CommentRequired"
"5","Game","src/Game/Ball.java","3","4","ImmutableField: Field 'height' may be declared final","Design","ImmutableField"
"6","Game","src/Game/Ball.java","3","4","ImmutableField: Field 'width' may be declared final","Design","ImmutableField"
"7","Game","src/Game/Ball.java","1","4","OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.","Code Style","OneDeclarationPerLine"
"8","Game","src/Game/Ball.java","3","4","ShortVariable: Avoid variables with short names like dx","Code Style","ShortVariable"
"9","Game","src/Game/Ball.java","3","4","ShortVariable: Avoid variables with short names like dy","Code Style","ShortVariable"
"10","Game","src/Game/Ball.java","3","4","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"11","Game","src/Game/Ball.java","3","4","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"12","Game","src/Game/Ball.java","3","6","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"13","Game","src/Game/Ball.java","3","6","MethodArgumentCouldBeFinal: Parameter 'dx' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"14","Game","src/Game/Ball.java","3","6","MethodArgumentCouldBeFinal: Parameter 'dy' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"15","Game","src/Game/Ball.java","3","6","MethodArgumentCouldBeFinal: Parameter 'height' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"16","Game","src/Game/Ball.java","3","6","MethodArgumentCouldBeFinal: Parameter 'width' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"17","Game","src/Game/Ball.java","3","6","MethodArgumentCouldBeFinal: Parameter 'x' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"18","Game","src/Game/Ball.java","3","6","MethodArgumentCouldBeFinal: Parameter 'y' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"19","Game","src/Game/Ball.java","3","6","ShortVariable: Avoid variables with short names like dx","Code Style","ShortVariable"
"20","Game","src/Game/Ball.java","3","6","ShortVariable: Avoid variables with short names like dy","Code Style","ShortVariable"
"21","Game","src/Game/Ball.java","3","6","ShortVariable: Avoid variables with short names like x","Code Style","ShortVariable"
"22","Game","src/Game/Ball.java","3","6","ShortVariable: Avoid variables with short names like y","Code Style","ShortVariable"
"23","Game","src/Game/Ball.java","3","15","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"24","Game","src/Game/Ball.java","3","20","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"25","Game","src/Game/Ball.java","3","21","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"26","Game","src/Game/Ball.java","3","23","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"27","Game","src/Game/Ball.java","3","23","MethodArgumentCouldBeFinal: Parameter 'objHeight' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"28","Game","src/Game/Ball.java","3","23","MethodArgumentCouldBeFinal: Parameter 'objWidth' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"29","Game","src/Game/Ball.java","3","23","MethodArgumentCouldBeFinal: Parameter 'objX' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"30","Game","src/Game/Ball.java","3","23","MethodArgumentCouldBeFinal: Parameter 'objY' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"31","Game","src/Game/Breakout.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"32","Game","src/Game/Breakout.java","3","5","CommentRequired: Class comments are required","Documentation","CommentRequired"
"33","Game","src/Game/Breakout.java","3","5","UseUtilityClass: All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"34","Game","src/Game/Breakout.java","3","6","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"35","Game","src/Game/Breakout.java","3","7","LocalVariableCouldBeFinal: Local variable 'frame' could be declared final","Code Style","LocalVariableCouldBeFinal"
"36","Game","src/Game/Breakout.java","3","8","LocalVariableCouldBeFinal: Local variable 'panel' could be declared final","Code Style","LocalVariableCouldBeFinal"
"37","Game","src/Game/Brick.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"38","Game","src/Game/Brick.java","3","3","CommentRequired: Class comments are required","Documentation","CommentRequired"
"39","Game","src/Game/Brick.java","3","3","DataClass: The class 'Brick' is suspected to be a Data Class (WOC=16.667%, NOPA=0, NOAM=5, WMC=7)","Design","DataClass"
"40","Game","src/Game/Brick.java","3","4","CommentRequired: Field comments are required","Documentation","CommentRequired"
"41","Game","src/Game/Brick.java","3","4","ImmutableField: Field 'height' may be declared final","Design","ImmutableField"
